Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,State Code,State Name,Subgenre,Venue,VenueID
Alternative,45.543999,-122.643501,Less Than Jake,0,0,5/1/2018,OR,Oregon,Alternative Rock,Wonder Ballroom,ZFr9jZAAvA
Alternative,47.610802,-122.302803,Of Montreal,0,0,5/1/2018,WA,Washington,Alternative Rock,Neumos,ZFr9jZAFvF
Alternative,45.0145,-93.025902,X Ambassadors,0,0,5/1/2018,MN,Minnesota,Alternative Rock,Myth,ZFr9jZAvk6
Alternative,35.471401,-97.519096,Ben Folds,0,0,5/1/2018,OK,Oklahoma,Alternative Rock,Civic Center Music Hall,ZFr9jZd7da
Alternative,38.877998,-77.019798,Haim,0,0,5/1/2018,DC,District of Columbia,Alternative Rock,The Anthem - DC,Z7r9jZadGS
Alternative,42.380199,-71.134697,Calexico,0,0,5/1/2018,MA,Massachusetts,Alternative Rock,The Sinclair Music Hall,ZFr9jZ1eka
Alternative,40.765202,-73.985298,The Breeders,0,0,5/1/2018,NY,New York,Alternative Rock,Terminal 5,ZFr9jZk7ke
Alternative,41.318298,-72.926399,Frankie Cosmos,0,0,5/1/2018,CT,Connecticut,Alternative Rock,Toads Place - CT,ZFr9jZ7F67
Alternative,39.735001,-105.020401,Weird Al Yankovic,0,0,5/1/2018,CO,Colorado,Alternative Rock,Paramount Theatre-Colorado,ZFr9jZeda1
Alternative,47.630699,-122.3461,Less Than Jake,0,0,5/2/2018,WA,Washington,Alternative Rock,El Corazon,ZFr9jZAa7a
Alternative,29.748899,-95.345596,Hawthorne Heights w/ Listener,0,0,5/2/2018,TX,Texas,Alternative Rock,Warehouse Live-Studio,ZFr9jZav7e
Alternative,33.716,-117.902901,The Fratellis,0,0,5/2/2018,CA,California,Alternative Rock,The Observatory - Santa Ana,Z6r9jZ6eAe
Alternative,35.081501,-106.646896,The Maine,0,0,5/2/2018,NM,New Mexico,Alternative Rock,Sunshine Theatre,ZFr9jZ7ak1
Alternative,27.771,-82.636803,Queens of the Stone Age,0,0,5/2/2018,FL,Florida,Alternative Rock,Mahaffey Theater,Z6r9jZ1F1e
Alternative,45.543999,-122.643501,Of Montreal,0,0,5/2/2018,OR,Oregon,Alternative Rock,Wonder Ballroom,ZFr9jZAAvA
Alternative,35.775002,-78.633598,Blue October,0,0,5/2/2018,NC,North Carolina,Alternative Rock,Lincoln Theatre-NC,ZFr9jZA76A
Alternative,41.013599,-73.675903,The Breeders,0,0,5/2/2018,NY,New York,Alternative Rock,Capitol Theatre-NY,Z6r9jZdF7e
Alternative,36.001301,-83.911903,Stone Temple Pilots,0,0,5/2/2018,TN,Tennessee,Alternative Rock,The Mill & Mine,Z7r9jZaeHn
Alternative,29.9429,-90.082802,The Afghan Whigs w/ Built To Spill,0,0,5/2/2018,LA,Louisiana,Alternative Rock,The Civic Theatre - New Orleans,ZFr9jZ166a
Alternative,37.5411,-77.434601,The Used,0,0,5/2/2018,VA,Virginia,Alternative Rock,The National,ZFr9jZkkav
Alternative,38.025002,-78.476097,Calexico,0,0,5/3/2018,VA,Virginia,Alternative Rock,Jefferson Theater-VA,ZFr9jZFk1a
Alternative,39.0723,-108.5429,Weird Al Yankovic,0,0,5/3/2018,CO,Colorado,Alternative Rock,Avalon Theatre - CO,ZFr9jZ6A6F
Alternative,39.598999,-105.228104,X Ambassadors,0,0,5/3/2018,CO,Colorado,Alternative Rock,Red Rocks Amphitheatre,ZFr9jZe71a
Alternative,37.869701,-122.2584,Of Montreal,0,0,5/3/2018,CA,California,Alternative Rock,The UC Theatre,Z7r9jZaeM2
Alternative,36.149399,-86.790001,Black Rebel Motorcycle Club,0,0,5/3/2018,TN,Tennessee,Alternative Rock,Marathon Music Works,ZFr9jZaFv1
Alternative,32.773998,-97.005203,Vance Joy w/ Lovelytheband,0,0,5/3/2018,TX,Texas,Alternative Rock,Verizon Theatre at Grand Prairie,ZFr9jZd7vv
Alternative,42.8536,-73.785103,PVRIS,0,0,5/3/2018,NY,New York,Alternative Rock,Upstate Concert Hall,ZFr9jZFkk1
Alternative,38.877998,-77.019798,Alice in Chains,0,0,5/3/2018,DC,District of Columbia,Alternative Rock,The Anthem - DC,Z7r9jZadGS
Alternative,28.5418,-81.373596,Brian Jonestown Massacre,0,0,5/3/2018,FL,Florida,Alternative Rock,The Social,ZFr9jZAe67
Alternative,41.939602,-87.656799,Unknown Mortal Orchestra,0,0,5/3/2018,IL,Illinois,Alternative Rock,Vic Theater,ZFr9jZeadv
Alternative,43.659801,-70.307503,PVRIS,0,0,5/4/2018,ME,Maine,Alternative Rock,Port City Music Hall,ZFr9jZ66vv
Alternative,39.951099,-75.150398,The Weeks,0,0,5/4/2018,PA,Pennsylvania,Alternative Rock,Underground Arts,ZFr9jZ1v76
Alternative,33.5597,-112.094902,Rogue Wave,0,0,5/4/2018,AZ,Arizona,Alternative Rock,The Crescent Ballroom,ZFr9jZaAva
Alternative,35.775002,-78.633598,Carbon Leaf,0,0,5/4/2018,NC,North Carolina,Alternative Rock,Lincoln Theatre-NC,ZFr9jZA76A
Alternative,35.908501,-79.080704,Black Rebel Motorcycle Club,0,0,5/4/2018,NC,North Carolina,Alternative Rock,Cat's Cradle,ZFr9jZ71ve
Alternative,32.7397,-117.129303,The Fratellis,0,0,5/4/2018,CA,California,Alternative Rock,The Observatory - San Diego,ZFr9jZ676d
Alternative,40.002102,-75.299202,Badfish,0,0,5/4/2018,PA,Pennsylvania,Alternative Rock,Ardmore Music Hall,Z7r9jZaenq
Alternative,30.228399,-97.713303,The Afghan Whigs w/ Built To Spill,0,0,5/4/2018,TX,Texas,Alternative Rock,Emo's-Austin,ZFr9jZd7k6
Alternative,38.877998,-77.019798,Lord Huron,0,0,5/4/2018,DC,District of Columbia,Alternative Rock,The Anthem - DC,Z7r9jZadGS
Alternative,44.970299,-93.286102,Unknown Mortal Orchestra,0,0,5/4/2018,MN,Minnesota,Alternative Rock,First Avenue,Z6r9jZk6ee
Alternative,32.9963,-117.2593,Khruangbin,0,0,5/4/2018,CA,California,Alternative Rock,Belly Up Tavern,Z6r9jZeFve
Alternative,42.3465,-83.059799,Dr. Dog,0,0,5/4/2018,MI,Michigan,Alternative Rock,Majestic Theatre-MI,Z6r9jZ1ade
Alternative,43.658501,-116.166,Less Than Jake,0,0,5/4/2018,ID,Idaho,Alternative Rock,Knitting Factory Concert House - Boise,ZFr9jZda71
Alternative,33.5597,-112.094902,The Fratellis,0,0,5/5/2018,AZ,Arizona,Alternative Rock,The Crescent Ballroom,ZFr9jZaAva
Alternative,32.777599,-117.195999,Of Montreal,0,0,5/5/2018,CA,California,Alternative Rock,Soma,ZFr9jZek6a
Alternative,34.088902,-118.326599,Arctic Monkeys,0,0,5/5/2018,CA,California,Alternative Rock,Hollywood Forever Cemetary,ZFr9jZFFaA
